商品名,重量,エネルギー[kcal],たんぱく質[g],脂質[g],炭水化物[g],ナトリウム[mg],カリウム[mg],カルシウム[mg],リン[mg],鉄[mg],ビタミンA[μg],ビタミンB1[mg],ビタミンB2[mg],ナイアシン[mg],ビタミンC[mg],ビタミンD[μg],ビタミンE[mg],コレステロール[mg],食物繊維[g],食塩相当量[g]
モーニングバーガーＢ.Ｌ.Ｔ.,118,240,8.2,9.1,31.1,576,168,16,97,0.4,14,0.14,0.06,1.5,11,0.1,1.2,14,1.6,1.5
モーニング野菜バーガー,156.8,331,14.2,14.2,36.5,709,296,27,146,1.1,25,0.1,0.1,2.4,6,0.2,1.6,28,2.1,1.8
モーニング野菜チーズバーガー,171.8,384,17.2,18.6,36.9,898,306,111,287,1.1,69,0.11,0.15,3.1,6,0.2,1.8,40,2.1,2.3
ソイモーニング野菜バーガー,155.8,310,11.6,11.7,39.5,691,149,40,87,0.9,15,0.09,0.07,1,6,0,1.9,4,3.2,1.8
ソイモーニング野菜チーズバーガー,170.8,363,14.6,16.1,39.9,880,159,124,228,0.9,59,0.1,0.12,1.7,6,0,2.1,16,3.2,2.3
トースト,52,136,4.4,1.9,25.3,358,49,10,40,0.3,1,0.05,0.04,0.7,0,0.1,0.1,1,1.2,0.9
朝のスタートプレート　卵とベーコン＆ミートソース,204,358,14.1,18.7,32.8,904,275,59,188,1.4,126,0.17,0.29,1.4,19,1.1,1.1,244,2.3,2.4
　スタートプレート　単品,199,321,14.1,14.6,32.8,876,274,58,187,1.4,87,0.17,0.29,1.4,19,1.1,1.1,233,2.3,2.3
　ポーションバター,5,37,0,4.1,0,28,1,1,1,0,39,0,0,0,0,0,0,11,0,0.1
ストロベリージャム,14,38,0,0,9.4,0,7,1,2,0,0,0,0,0,1,0,0,0,0.2,0
